id,short,gallery
"Kirill_Mephodi","Cвятые православной и католической церкви, братья из города Солуни. Сейчас это Салоники, Греция. Создатели старославянской азбуки и церковнославянского языка","1521359/f3636e428fe4f87e5738|997614/86bcecc21c547cd4118d|1521359/8ebd1e6a252d9a14233f"
"Helga","Княгиня, правившая Киевской Русью с 945 до 960 года в качестве регента при малолетнем сыне Святославе, после гибели её мужа, киевского князя Игоря Рюриковича. Первая из правителей Руси приняла христианство.",""
"KnazVladimir","Стал новгородским князем в 970 году, захватил киевский престол в 978 году. В 988 году принял христианство по греческому обряду, а также сделал его государственной религией Киевской Руси. В крещении получил христианское имя Василий. Известен под именами Владимир Первый, Владимир Святой, Владимир Великий, Красно Солнышко, Владимир Креститель","213044/bf79077cf423b097df24|1540737/b6a35bcdd21a95648985|213044/ee50f6955747c41c062d"
"Rostov","Святой преподобный Русской церкви, подвизавшийся в Ростове. Его «Житие», среди прочего, описывает сокрушение им идола Велеса и основание на том месте Богоявленского монастыря.",""
"Antoniy","Основатель Киево-Печерского монастыря, один из основоположников русского монашества. Почитается Православной церковью как «начальник всех русских монахов».",
"Feodosiy","Православный монах 11 века, один из основателей и игумен Киево-Печерского монастыря. Житие Феодосия является древнейшим русским агиографическим произведением",
"Kukha","Иеромонах Киево-Печерского монастыря, священномученик. В житии Кукши Печерского рассказывается о его многочисленных чудесах.",
"Letopis","Древнерусский летописец, конца 11 — начала 12 веков, монах Киево-Печерского монастыря. радиционно считается одним из авторов «Повести временных лет», которая наряду с «Чешской хроникой» Козьмы Пражского и «Хроникой и деяниями князей или правителей польских» Галла Анонима имеет фундаментальное значение для славянской культуры.",
"Belozer","Основатель Кирилло-Белозерского монастыря, преподобный Русской церкви. Кирилл собрал большую библиотеку в монастыре, занимался просветительством. Библиотека, принадлежавшая святому Кириллу, частично сохранилась.",
"Stefan","Епископ Русской православной церкви. Проповедовал христианство в землях коми, создал для них алфавит и перевёл на их язык основные церковные сочинения.",
"Alex","Митрополит Киевский и всея Руси, епископ, государственный деятель, дипломат. В церковно-богослужебных текстах именуется «святителем Московским и всея России чудотворцем». Обладая исключительным умом и способностями, был фактическим правителем Московского княжества при трёх московских князьях; в 1366 году начал строительство каменного Московского Кремля",
"Radoneg","Игумен Русской церкви, основатель ряда монастырей, в том числе Свято-Троицкого монастыря под Москвой. Именно этот монах-подвижник благословил Дмитрия Московского и его двоюродного брата Владимира Серпуховского на бой с татарами. Его устами, русская церковь впервые призвала к борьбе с Ордой.",
"Mogila","Епископ Константинопольской православной церкви, митрополит Киевский, Галицкий и всея Руси. Благодаря трудам Могилы возобновилась православная жизнь в древних киевских храмах, включая Софийский собор в Киеве",
"Zosima","Один из основателей Соловецкого монастыря. ",
"Grek","Писатель, богослов, переводчик, филолог. Максима Грека называли «первым интеллигентом на Руси»",
"Savvat","Один из основателей Соловецкого монастыря. ",
"Iona","Митрополит Киевский и всея Руси. При нем было положено начало фактической автокефалии Русской церкви",
"Makar","Митрополит Московский и всея Руси. Макарий способствовал составлению нового Владычного летописного свода. Много внимания владыка уделял реставрации старинных икон и храмов, в Софийском соборе были поновлены фрески. Здесь же, в Новгороде, была предпринята первая попытка собрать воедино все книги «в русской земле чтомые»",
"Varfar","Епископ Тверской, святой Русской церкви в лике святителей, почитается как Казанский чудотворец.",
"Gurij","Епископ Русской церкви, первый архиепископ Казанский и Свияжский.",
"Ostro","Глава рода Острожских, воевода киевский, покровитель православной веры. Основал Острожскую типографию, в которой работали первопечатники Иван Федоров и Петр Мстиславец.",
"Nikon","Московский патриарх, чьи реформы вызвали раскол Русской церкви, что повлекло возникновение старообрядчества.",
"Rtishev","Друг и фаворит царя Алексея Михайловича. Сыграл заметную роль в истории русского просвещения.",
"DmitrRostov","Епископ Русской православной церкви, митрополит Ростовский и Ярославский; духовный писатель. Основатель Ростовской грамматической школы, в которой наряду с грамматикой церковнославянского языка и богослужебными книгами изучались также древние языки, философия и стихосложение.",
