id,type,text,answer_type,answer,reply_true,reply_false,partial_min,partial_max,reply_partial,suggest
1,simple,"Какова общая высота памятника?",int,15,"Верно! Общая высота памятника 15.7 метров. Высота пьедестала — 6 м; высота фигур — 3,3 м; креста на державе — 3 м.","Не угадали! Общая высота памятника 15.7 метров. Высота пьедестала — 6 м; высота фигур — 3,3 м; креста на державе — 3 м.",,,,"больше 100 метров;около 5 метров;около 15 метров"
2,hard,"Сколько поэтов, стихотворения которых изучают в школе, изображены на памятнике?",int,6,"Верно. Всего шесть: Михаил Ломоносов, Гавриил Державин, Иван Крылов, Василий Жуковский, Михаил Лермонтов, Александр Пушкин.","Нет, на самом деле их шесть. На памятнике они изображены в группе Писателей и композиторов. Это группа мужчин в камзолах и сюртуках под фигурами царя Михаила Романова, Минина и Пожарского. Нас интересуют Ломоносов, Гавриила Державин, баснописец Крылов, автор романтических баллад Жуковский, Михаил Лермонтов и Александр Пушкин.",,,,"два;четыре;шесть"
3,attention,Сколько фигур между Александром Пушкиным и князем Владимиром в нижнем фризе?,int,7,"Верно! А если считать фигуры в обратную сторону по всему нижнему ярусу, получится ровно 100, если конечно я не ошиблась.","Не верно. Давайте помогу их найти. Фигуры Пушкина и князя Владимира Красно Солнышко находятся в нижнем ярусе памятника. Пушкин стоит в плаще, между Лермонтовым и Гоголем. Над ним фигура молодой славянки с младенцем на руках. Князь Владимир правее, под фигурой славянина свергающего Перуна.  Он стоит с крестом в правой руке и указывает левой на крестильную чашу. Между ними 7 фигур.",5,8,"Вы кого-то пропустили, давайте вместе обойдем памятник и посчитаем. Пушкин в плаще стоит в середине группы писателей и художников, между Лермонтовым и Гоголем. От Пушкина пойдем направо. Гоголь - раз, Михаил Глинка - два, Карл Брюллов - три, композитор Боротнянский - четыре. Начинается раздел Просветителей, и мы продолжаем счет. Братья Кирилл и Мефодий сидят с книгой - это пять и шесть, княгиня Ольга у них за спиной - семь. Итого 7 фигур.",
4,attention,"Кто-то, например, князь Владимир, крестивший Россию, изображен на памятнике дважды. Сколько еще людей изображены и в среднем и в нижнем ярусе одновременно?",int,7,"Верно! Кроме князя Владимира одновременно и в среднем, и в нижнем ярусе встречаются Дмитрий Донской, Иван Третий, а еще родоначальник династии Михаил Романов вместе с гражданином Мининым и князем Пожарским. И конечно Петр Первый. Итого семеро.","Не угадали! На самом деле таких персон довольно много. Кроме князя Владимира одновременно в двух ярусах встречаются Дмитрий Донской, Иван Третий, а еще родоначальник династии Михаил Романов вместе с гражданином Мининым и князем Пожарским. И конечно Петр Первый. Итого семеро.",,,,"три;пять;семь"
5,simple,"За тысячелетнюю историю Английского королевства в нем сменилось больше десяти правящих династий. А сколько правящих династий было в России за тысячу лет?",int,3,"Верно. Династии Рюриковичей, Годуновых и Романовых.","Не верно. В истории России было 3 правящих династии - Рюриковичи, Годуновы и Романовы.",,,,"одна;две;три"
6,simple,"Кто из императоров установил этот памятник?",str,"Александр","Верно! Памятник был открыт в сентябре 1862 года в присутствии императора Александра Второго с наследником и членами Императорского дома.","Не угадали! Памятник был открыт в сентябре 1862 года в присутствии императора Александра Второго с наследником и членами Императорского дома.",,,,"Николай I;Александр II;Николай II"
7,simple,"Из какого материала отлит памятник?",str,"бронза","Верно! Общий вес бронзового литья составляет 65,5 тонн.","Не угадали! Материал фигур и барельефов это бронза.",,,,"бронза;медь;сталь"
8,hard,"Попробуйте угадать, что получил сам Великий Новгород в честь открытия памятника? Я назову варианты. Парад на 12 тысяч солдат и офицеров. Ремонт города и новую мостовую. Первые два путеводителя в истории города.",str,"все","Верно! Тысячелетний юбилей и открытие памятника отмечались в течении трех дней. Торжества собрали количество гостей, равно числу жителей города.","Не угадали! И парад, и ремонт, и путеводители и огромное количество гостей в городе в течении трех дней.",,,,"парад;ремонт и мостовые;путеводители"
9,simple,"Какой ближайший родственник Александра Второго изображен на памятнике?",str,"отец","Верно! Фигуру Николая Первого добавили в последний момент по настоянию окружения царя.","Не угадали! Хотя на памятнике есть дядя, прабабушка и наставник, ближайший родственник это отец, император Николай Первый.",,,,"брат;отец;дядя"
10,hard,"Попробуйте вспомнить, на какой российской банкноте изображен памятник Тысячелетия России?",int,5,"У Вас хорошая память, банкноту в 5 рублей сейчас редко можно встретить.","Не угадали! Памятник изображен на лицевой стороне банкноты в 5 рублей образца 1997 года.",,,,
11,attention,"Найдите льва на памятнике! На какой части доспеха у литовского рыцаря изображена морда льва?",str,"наплечник;плечо","Верно! У ног Ивана Третьего поверженный литовский рыцарь со львом на плече.","Не угадали! Присмотритесь к группе Ивана Третьего. У его ног кроме татарского воина и тевтонского рыцаря лежит еще и литовский рыцарь. На его наплечнике голова льва.",,,,
12,attention,"Сколько женщин среди ста девяти выдающихся людей, выбранных за тысячелетнюю историю России?",int,"4","Верно, их четыре. Киевская княгиня Ольга, первая жена Ивана Грозного Анастасия Романова, императрица Екатерина Вторая и Марфа Борецкая, боровшаяся за независимость Великого Новгорода от Москвы.","Их четыре. Киевская княгиня Ольга, первая жена Ивана Грозного Анастасия Романова, императрица Екатерина Вторая и Марфа Борецкая, боровшаяся за независимость Великого Новгорода от Москвы.",,,,
